timestamp,portfolio_value
2025-10-18 16:08:31.333877+00:00,9990.0
2025-10-18 16:08:36.705709+00:00,9990.399039270389
2025-10-18 16:08:42.068569+00:00,9990.859756741826
2025-10-18 16:08:47.441974+00:00,9990.859756741826
2025-10-18 16:08:52.820496+00:00,9990.859756741826
2025-10-18 16:08:58.196860+00:00,9991.72418607464
2025-10-18 16:09:03.574762+00:00,9993.130635962085
2025-10-18 16:09:08.939059+00:00,9993.130635962085
2025-10-18 16:09:14.310908+00:00,9991.330753913435
2025-10-18 16:09:19.683794+00:00,9991.330753913435
2025-10-18 16:09:25.073443+00:00,9981.339423159521
2025-10-18 16:09:30.443606+00:00,9981.339423159521
2025-10-18 16:09:35.831570+00:00,9971.35808373636
2025-10-18 16:09:41.218108+00:00,9971.35808373636
2025-10-18 16:09:46.590299+00:00,9973.292400034969
2025-10-18 16:09:51.964063+00:00,9973.758725082847
2025-10-18 16:09:57.680497+00:00,9974.152303423258
2025-10-18 16:10:03.049635+00:00,9974.153236073354
2025-10-18 16:10:08.425674+00:00,9973.82214528936
2025-10-18 16:10:13.803452+00:00,9963.84832314407
2025-10-18 16:10:19.179486+00:00,9953.884474820927
2025-10-18 16:10:24.551226+00:00,9943.930590346106
2025-10-18 16:10:29.929600+00:00,9933.986659755761
2025-10-18 16:10:35.303220+00:00,9924.052673096005
2025-10-18 16:10:40.687278+00:00,9914.128620422909
2025-10-18 16:10:46.058219+00:00,9914.128620422909
2025-10-18 16:10:51.730947+00:00,9914.166630217727
2025-10-18 16:10:57.117956+00:00,9904.252463587509
2025-10-18 16:11:02.496827+00:00,9904.252463587509
2025-10-18 16:11:07.896042+00:00,9894.348211123921
2025-10-18 16:11:13.289167+00:00,9894.348211123921
2025-10-18 16:11:18.678756+00:00,9894.913517462668
2025-10-18 16:11:24.053920+00:00,9894.913517462668
2025-10-18 16:11:29.432250+00:00,9885.018603945206
2025-10-18 16:11:34.813191+00:00,9885.018603945206
2025-10-18 16:11:40.190091+00:00,9885.018603945206
2025-10-18 16:11:45.585732+00:00,9875.133585341258
2025-10-18 16:11:50.956089+00:00,9875.133585341258
2025-10-18 16:11:56.337384+00:00,9865.258451755917
2025-10-18 16:12:01.702771+00:00,9855.39319330416
2025-10-18 16:12:07.091362+00:00,9855.39319330416
2025-10-18 16:12:12.478229+00:00,9844.772588737973
2025-10-18 16:12:17.864973+00:00,9844.772588737973
2025-10-18 16:12:23.240964+00:00,9844.772588737973
2025-10-18 16:12:28.620585+00:00,9844.772588737973
